number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_epochs,params_lr,params_patience,params_weight_decay,state
102,0.28894311140391454,2025-11-27 18:32:49.347301,2025-11-27 18:33:42.618531,0 days 00:00:53.271230,0.3922085675894248,95,0.00016866741990407324,29,0.0002511086692822798,COMPLETE
103,0.2889484518487263,2025-11-27 18:33:42.681646,2025-11-27 18:34:37.488373,0 days 00:00:54.806727,0.3943578912861739,97,0.0001704686605321271,29,0.00014969419974703631,COMPLETE
104,0.2883574975751977,2025-11-27 18:34:37.557642,2025-11-27 18:35:33.015157,0 days 00:00:55.457515,0.39402499254571755,98,0.00017042692775713422,30,0.0002531221080373527,COMPLETE
105,0.2891515693717095,2025-11-27 18:35:33.082273,2025-11-27 18:36:27.645288,0 days 00:00:54.563015,0.44861666202265776,97,0.00017441829395911543,30,0.00014576566009428117,COMPLETE
106,0.29134257306080547,2025-11-27 18:36:27.712292,2025-11-27 18:37:23.025408,0 days 00:00:55.313116,0.39814293363642944,97,0.00020729631409391845,30,0.00016015465299492115,COMPLETE
107,0.2892874351217727,2025-11-27 18:37:23.092978,2025-11-27 18:38:20.608407,0 days 00:00:57.515429,0.44986264115008245,102,0.00017536018806445233,28,0.00024922056903150955,COMPLETE
108,0.29119399362359166,2025-11-27 18:38:20.673410,2025-11-27 18:39:19.545459,0 days 00:00:58.872049,0.4513601769709015,105,0.00017511788012910547,29,0.0001291243680498168,COMPLETE
109,0.2921142512444951,2025-11-27 18:39:19.612081,2025-11-27 18:40:16.750514,0 days 00:00:57.138433,0.4415748976214057,102,0.00022552764422919391,27,0.0002336976865541171,COMPLETE
110,0.291397340369947,2025-11-27 18:40:16.815048,2025-11-27 18:41:10.757212,0 days 00:00:53.942164,0.46494092132950904,95,0.0002630416568928925,30,9.909872825992382e-05,COMPLETE
111,0.2890501928723548,2025-11-27 18:41:10.826486,2025-11-27 18:42:07.197381,0 days 00:00:56.370895,0.42618122659424584,100,0.00017533867004108198,28,0.0002663421262927513,COMPLETE
112,0.2906056186056006,2025-11-27 18:42:07.261479,2025-11-27 18:43:03.873690,0 days 00:00:56.612211,0.4801701777978397,100,0.00019982351726245904,28,0.00027337883407197323,COMPLETE
113,0.290258799702668,2025-11-27 18:43:03.937414,2025-11-27 18:43:59.226108,0 days 00:00:55.288694,0.42548142606719386,98,0.00017495952544379416,29,0.00017852008378980684,COMPLETE
114,0.2957413774548155,2025-11-27 18:43:59.308598,2025-11-27 18:44:55.744591,0 days 00:00:56.435993,0.3893476488309652,115,0.00030567743011330784,28,0.00014907173795087865,COMPLETE
115,0.2905910376346473,2025-11-27 18:44:55.807174,2025-11-27 18:45:46.848819,0 days 00:00:51.041645,0.4385777462754154,91,0.00016841065406852042,29,0.00025256068727536903,COMPLETE
116,0.29055957557741274,2025-11-27 18:45:46.908371,2025-11-27 18:46:46.752150,0 days 00:00:59.843779,0.40746494151269236,107,0.00024184317287821795,30,7.899923586952996e-05,COMPLETE
117,0.2884218935795724,2025-11-27 18:46:46.816999,2025-11-27 18:47:39.824697,0 days 00:00:53.007698,0.4466455905842409,93,0.00019245255991294624,27,0.0002074000319619005,COMPLETE
